hh,mm,x (min in day),y0,y1,y2
7,15,435,8869.229,342623.598,0.883
7,18,438,20290.667,676464.989,1.769
7,21,441,3927.223,131834.286,0.606
7,24,444,13076.348,427327.391,0.913
7,27,447,11240.539,326266.831,1.27
7,30,450,3174.727,91017.727,0.335
7,33,453,19453.055,504314.901,1.423
7,36,456,5034.011,114869.69,0.583
7,39,459,33399.448,769211.632,2.684
7,42,462,7863.141,332226.802,0.949
7,45,465,16114.857,409580.352,1.412
7,48,468,4108.916,123221.944,0.503
7,51,471,1427.403,24339.094,0.204
7,54,474,2330.637,102272,0.297
7,57,477,18532.836,652656.994,1.898
8,0,480,8914.273,214183.956,0.962
8,3,483,16937.832,300964.246,1.341
8,6,486,5365.017,190162.215,0.672
8,9,489,2033,36752.913,0.239
8,12,492,6575.186,232462.825,0.525
8,15,495,12582.4,426531.067,1.394
8,18,498,16364.597,983789.569,1.713
8,21,501,8797.034,532008.944,0.916
8,24,504,7636.193,318487.658,1.059
8,27,507,5077.573,161671.596,0.663
8,30,510,7732.636,282554.227,0.733
8,33,513,2695.467,103124.489,0.433
8,36,516,5758.033,185513.443,0.82
8,39,519,5029.753,181592.674,0.635
8,42,522,4487.912,113927.16,0.519
8,45,525,6531.887,234341.153,0.74
8,48,528,3512.088,110342.807,0.436
8,51,531,7100.59,235014.295,0.71
8,54,534,1667.844,21715.173,0.263
8,57,537,21393.743,632297.475,2.145
9,0,540,3327.374,75620.022,0.341
9,3,543,10093.62,348798.283,0.937
9,6,546,7525.132,171971.371,0.88
9,9,549,4960.914,88242.971,0.594
9,12,552,24812.995,355793.355,2.011
9,15,555,11053.694,471336.047,1.829
9,18,558,12008.696,317853.522,1.679
9,21,561,2176,45935.82,0.281
9,24,564,13832.086,406622.925,1.183
9,27,567,3688.879,51283.607,0.48
9,30,570,1327.067,32413.333,0.178
9,33,573,12781.902,458494.995,1.317
9,36,576,1361.326,18011.315,0.166
9,39,579,15587.864,460591,1.415
9,42,582,4431.372,105791.288,0.414
9,45,585,17140.714,687954.238,1.494
9,48,588,26132.739,920873.652,2.511
9,51,591,22257.13,569645.198,1.582
9,54,594,15213.362,518683.286,1.795
9,57,597,16197.438,415815.506,1.972
10,0,600,801.967,19097.268,0.131
10,3,603,4292.23,182339.678,0.569
10,6,606,1710.099,41449.503,0.265
10,9,609,1098.198,30061.011,0.187
10,12,612,4727.407,193667.767,0.661
10,15,615,8480.612,280471.718,0.412
10,18,618,5086.157,161280.989,0.798
10,21,621,3876.484,153549.758,0.511
10,24,624,15710.769,560660.615,1.615
10,27,627,12936.455,349064.864,0.909
10,30,630,12834.056,424631.598,1.106
10,33,633,3048.707,91006.188,0.398
10,36,636,10140.151,270031.524,0.805
10,39,639,4479.865,120523.596,0.657
10,42,642,1416.884,36032.842,0.189
10,45,645,6594.776,162617.506,0.735
10,48,648,3378.667,124107.797,0.424
10,51,651,8779.492,256854.188,0.801
10,54,654,1622.851,57184.354,0.149
10,57,657,17656,765272.208,1.667
11,0,660,4536.047,129739.767,0.587
11,3,663,7787.385,262724.132,0.945
11,6,666,4049.909,126735.864,0.483
11,9,669,15651.251,318659.294,1.112
11,12,672,1605.409,39424.364,0.222
11,15,675,3244.565,61959.087,0.457
11,18,678,4325.614,43025.45,0.561
11,21,681,2828.693,92382.302,0.374
11,24,684,5528.299,89776.684,0.583
11,27,687,4513.447,135000.17,0.505
11,30,690,1951.579,46241.357,0.263
11,33,693,22077.262,667508.62,2.048
11,36,696,15836.254,323416.277,1.723
11,39,699,1834.225,41199.701,0.235
11,42,702,993.253,44761.831,0.139
11,45,705,5084.784,48860.706,0.696
11,48,708,27688.658,731660.861,2.139
11,51,711,3437.872,87445.557,0.429
11,54,714,1510.503,46423.742,0.135
11,57,717,5720.305,217587.467,0.667
12,0,720,9980.368,344624.789,1.164
12,3,723,4439.759,161565.628,0.709
12,6,726,17144.927,523173.805,1.274
12,9,729,9142.497,398886.904,0.787
12,12,732,10196.304,452388,0.494
12,15,735,10827.551,296702.439,0.966
12,18,738,2231.494,61360.152,0.266
12,24,744,2549.676,66470.324,0.263
12,27,747,27385.66,726732.679,3.712
12,30,750,3306.103,128073.744,0.135
12,33,753,1501.413,49846.448,0.149
12,36,756,2306.56,71039.413,0.313
12,39,759,13616.455,498303.242,1.166
12,42,762,22230.711,541839.785,1.685
12,45,765,8261.923,494346.962,0.611
12,48,768,19305.187,591676.439,0.232
12,51,771,5022.498,137146.817,0.545
12,54,774,2098.177,59260.571,0.313
12,57,777,6126.712,205048.546,0.61
13,0,780,328832.737,10686584.84,1.507
13,3,783,4415.883,121284.544,0.684
13,6,786,1001.692,30746.615,0.154
13,9,789,9721.43,195109.449,1.101
13,12,792,3644.331,91855.898,0.592
